"주연","총횟수","cluster","횟수","누적관객수__개봉일스크린수","누적관객수__스크린수","누적관객수__상영횟수","평균_관람객_개스크","평균_관람객_스크","평균_관람객_상횟","관람객개스크점수"
"김성균",24,1,2,785.058687782153,732.061257715778,32.0168044136549,392.529343891076,366.030628857889,16.0084022068274,555.120321760173
"김성균",24,2,7,15048.4659397328,11341.1577128218,187.31971073139,2149.78084853326,1620.16538754596,26.7599586759129,5687.78549850843
"김성균",24,3,10,30594.5673776603,25266.6754737074,369.935862328684,3059.45673776603,2526.66754737074,36.9935862328684,9674.85169408915
"김성균",24,4,5,20179.268732425,17334.8738417858,251.988182038677,4035.85374648499,3466.97476835717,50.3976364077354,9024.44332438764
"김성령",10,1,1,549.286852589641,346.409547738693,24.3760608203678,549.286852589641,346.409547738693,24.3760608203678,549.286852589641
"김성령",10,2,3,4183.06552702226,4067.5017487581,71.1394818979834,1394.35517567409,1355.8339162527,23.7131606326611,2415.09400806414
"김성령",10,3,4,17259.913466811,15101.8265210358,147.578536028437,4314.97836670274,3775.45663025896,36.8946340071094,8629.95673340548
"김성령",10,4,2,8828.72590077494,6957.70757675596,82.3819115582928,4414.36295038747,3478.85378837798,41.1909557791464,6242.85195367527
"김수미",20,1,12,58856.1173460024,48959.8096363229,399.130269890484,4904.6764455002,4079.98413636024,33.260855824207,16990.2975965853
"김수미",20,2,6,38920.6774689383,32355.5323526837,263.827902073388,6486.77957815638,5392.58872544729,43.9713170122314,15889.3000403894
"김수미",20,3,2,7230.90993325334,6637.49831496104,58.0688560888912,3615.45496662667,3318.74915748052,29.0344280444456,5113.0254479526
"김수미",20,4,0,0,0,0,0,0,0,0
"김수안",16,1,2,997.350006642753,946.153156860056,33.4704200900954,498.675003321376,473.076578430028,16.7352100450477,705.232952913539
"김수안",16,2,2,4195.11476751867,3520.89027261305,47.6331762748388,2097.55738375934,1760.44513630652,23.8165881374194,2966.39409996828
"김수안",16,3,8,18522.7946887635,16424.2178670072,253.029068749722,2315.34933609543,2053.02723337591,31.6286335937153,6548.79686547541
"김수안",16,4,4,21166.1664893411,18439.664635014,233.970818212793,5291.54162233527,4609.9161587535,58.4927045531983,10583.0832446705
"김수현",18,1,5,23745.8144784168,22267.51062468,192.521696660517,4749.16289568337,4453.502124936,38.5043393321034,10619.4510709677
"김수현",18,2,6,23734.3213509443,22233.9477634931,200.265871009742,3955.72022515738,3705.65796058219,33.3776451682903,9689.49611684296
"김수현",18,3,5,21132.8650296484,13679.8008593265,148.950559751694,4226.57300592968,2735.9601718653,29.7901119503387,9450.90455312438
"김수현",18,4,2,22014.9941601813,17089.8669153285,142.797478577731,11007.4970800907,8544.93345766426,71.3987392888657,15566.9516584464
"김승우",6,1,3,9219.72532940847,8055.51507654733,102.781241874359,3073.24177646949,2685.17169218244,34.2604139581198,5323.01090078839
"김승우",6,2,1,569.657627118644,560.163333333333,10.6292852624921,569.657627118644,560.163333333333,10.6292852624921,569.657627118644
"김승우",6,3,2,9156.07003548777,7343.36010733409,76.6862601077947,4578.03501774388,3671.68005366705,38.3431300538974,6474.31921111235
"김승우",6,4,0,0,0,0,0,0,0,0
"김시은",11,1,1,817.458646616541,692.496815286624,26.3696337618239,817.458646616541,692.496815286624,26.3696337618239,817.458646616541
"김시은",11,2,2,8213.12463914183,5291.5440473307,71.8964292780253,4106.56231957092,2645.77202366535,35.9482146390126,5807.55612706751
"김시은",11,3,3,6709.05984877763,6381.05965993483,105.412898134276,2236.35328292588,2127.01988664494,35.1376327114254,3873.47750970107
"김시은",11,4,5,22411.5605325143,19159.768324295,267.802699060363,4482.31210650286,3831.953664859,53.5605398120726,10022.7545665107
"김아중",7,1,1,856.5,841.858974358974,16.5569843671205,856.5,841.858974358974,16.5569843671205,856.5
"김아중",7,2,3,26670.1082568935,22841.0486030272,155.697783400886,8890.03608563115,7613.68286767573,51.8992611336286,15397.9941814339
"김아중",7,3,1,3443.11466165414,3318.36413043478,46.6637030621083,3443.11466165414,3318.36413043478,46.6637030621083,3443.11466165414
"김아중",7,4,2,8742.79196254024,7086.58017742661,89.3909809506383,4371.39598127012,3543.2900887133,44.6954904753191,6182.08748321545
"김영애",11,1,2,2368.96861520155,2098.39635701275,47.6903676867941,1184.48430760077,1049.19817850638,23.845183843397,1675.11377222712
"김영애",11,2,2,6595.06960326838,5924.28395874667,44.3453110687023,3297.53480163419,2962.14197937333,22.1726555343511,4663.41843886835
"김영애",11,3,6,37328.3745767995,28844.4846294775,288.70094044458,6221.39576279991,4807.41410491292,48.1168234074299,15239.2451067731
"김영애",11,4,1,4455.5879494655,3872.2972972973,45.7245437319238,4455.5879494655,3872.2972972973,45.7245437319238,4455.5879494655
"김우빈",5,1,0,0,0,0,0,0,0,0
"김우빈",5,2,1,3409.50379746835,3110.28637413395,34.3980894973437,3409.50379746835,3110.28637413395,34.3980894973437,3409.50379746835
"김우빈",5,3,3,11820.5787723416,10358.420664956,132.256256757967,3940.19292411387,3452.80688831868,44.0854189193223,6824.6143361886
"김우빈",5,4,1,4938.25,4763.88141239174,56.3362090020248,4938.25,4763.88141239174,56.3362090020248,4938.25
"김원희",3,1,1,50923.5,1907.24719101124,25.8494923857868,50923.5,1907.24719101124,25.8494923857868,50923.5
"김원희",3,2,2,22977.7204374694,18758.9156656657,124.777343408765,11488.8602187347,9379.45783283283,62.3886717043826,16247.7019375434
"김원희",3,3,0,0,0,0,0,0,0,0
"김원희",3,4,0,0,0,0,0,0,0,0
"김윤석",25,1,3,20907.3525728425,19886.9614825581,149.315975255875,6969.11752428083,6628.98716085271,49.7719917519585,12070.865635973
"김윤석",25,2,8,56976.720104086,46866.5829593642,341.028841765054,7122.09001301075,5858.32286992052,42.6286052206318,20144.3125776836
"김윤석",25,3,11,55002.3161703925,46902.1908020668,468.578690723105,5000.21056094478,4263.83552746061,42.5980627930096,16583.8223034263
"김윤석",25,4,3,23577.1166647464,20599.9710093182,190.009801531857,7859.03888824881,6866.65700310607,63.336600510619,13612.2546531066
"김윤진",7,1,1,3959.11333333333,3514.00591715976,38.944652108335,3959.11333333333,3514.00591715976,38.944652108335,3959.11333333333
"김윤진",7,2,4,18460.3957922774,17163.6443724534,132.082847849451,4615.09894806934,4290.91109311336,33.0207119623628,9230.19789613868
"김윤진",7,3,1,5146.44608879493,4057.115,42.8930962785453,5146.44608879493,4057.115,42.8930962785453,5146.44608879493
"김윤진",7,4,1,15318.5617615467,13660.5181992337,67.061566602716,15318.5617615467,13660.5181992337,67.061566602716,15318.5617615467
"김인권",20,1,4,10179.758359451,8850.59917774316,128.973269129016,2544.93958986274,2212.64979443579,32.243317282254,5089.87917972549
"김인권",20,2,4,6292.4324548392,5852.57714178144,78.963886355651,1573.1081137098,1463.14428544536,19.7409715889127,3146.2162274196
"김인권",20,3,10,54254.5728763676,45070.3766533564,414.818184177566,5425.45728763676,4507.03766533564,41.4818184177566,17156.8023768914
"김인권",20,4,2,8302.22993983984,7698.22358063433,70.0958207252207,4151.11496991992,3849.11179031716,35.0479103626104,5870.56308943073
"김정은",8,1,3,9853.21358543417,9650.49392646229,117.768424900968,3284.40452847806,3216.83130882076,39.2561416336561,5688.7555159333
"김정은",8,2,3,12280.3671099276,11267.5467100183,95.3076380367673,4093.4557033092,3755.84890333942,31.7692126789224,7090.07325666413
"김정은",8,3,2,2539.24289053305,2419.71811148733,41.9538711455265,1269.62144526653,1209.85905574367,20.9769355727633,1795.51586697565
"김정은",8,4,0,0,0,0,0,0,0,0
"김정태",16,1,5,29783.1863064662,25764.6650362217,227.761712487857,5956.63726129323,5152.93300724434,45.5523424975713,13319.4458335599
"김정태",16,2,9,28979.8457360215,23412.2001228481,287.532267542456,3219.98285955795,2601.35556920534,31.9480297269396,9659.94857867384
"김정태",16,3,2,22903.2201062574,16504.104368718,104.856170552731,11451.6100531287,8252.05218435898,52.4280852763657,16195.0222481427
"김정태",16,4,0,0,0,0,0,0,0,0
"김주혁",18,1,2,3611.03376616989,3370.81808432406,77.5781416956225,1805.51688308494,1685.40904216203,38.7890708478112,2553.38646315233
"김주혁",18,2,10,19710.9907894488,17515.9573684582,238.279306188679,1971.09907894488,1751.59573684582,23.8279306188679,6233.16258332585
"김주혁",18,3,4,19953.2201824379,16154.794969324,168.697305196396,4988.30504560947,4038.698742331,42.174326299099,9976.61009121893
"김주혁",18,4,2,6010.49290343584,4489.39156373869,62.5255445677148,3005.24645171792,2244.69578186934,31.2627722838574,4250.0602902931
"김주현",4,1,0,0,0,0,0,0,0,0
"김주현",4,2,2,713.603293150685,698.066150482315,25.8046203672267,356.801646575342,349.033075241158,12.9023101836133,504.593727663901
"김주현",4,3,1,1071.24507042254,1046.6752293578,23.8572175404111,1071.24507042254,1046.6752293578,23.8572175404111,1071.24507042254
"김주현",4,4,1,4455.5879494655,3872.2972972973,45.7245437319238,4455.5879494655,3872.2972972973,45.7245437319238,4455.5879494655
"김준배",16,1,8,23491.290077134,15430.7880680277,200.082069456996,2936.41125964175,1928.84850850346,25.0102586821245,8305.42525618085
"김준배",16,2,6,16959.4213612031,15527.4767875014,200.890985702024,2826.57022686718,2587.9127979169,33.4818309503373,6923.65477796749
"김준배",16,3,2,5556.3644500548,5105.63897517427,74.3719970720589,2778.1822250274,2552.81948758713,37.1859985360295,3928.94298137761
"김준배",16,4,0,0,0,0,0,0,0,0
"김지석",9,1,3,13765.25610655,11303.6602060531,98.2161688090083,4588.41870218334,3767.88673535103,32.7387229363361,7947.37431858079
"김지석",9,2,4,23269.5860010001,21034.1598851123,152.471262240629,5817.39650025002,5258.53997127807,38.1178155601573,11634.7930005
"김지석",9,3,2,19052.5178413566,17206.2979023646,93.0459875096784,9526.25892067829,8603.1489511823,46.5229937548392,13472.1645643009
"김지석",9,4,0,0,0,0,0,0,0,0
"김지수",17,1,4,7147.949667332,6718.96247858812,98.7061234342008,1786.987416833,1679.74061964703,24.6765308585502,3573.974833666
"김지수",17,2,2,9709.72408353053,8898.39764252772,72.3295681847245,4854.86204176527,4449.19882126386,36.1647840923623,6865.81174291478
"김지수",17,3,4,27882.5267378677,21449.2535340632,191.380003533865,6970.63168446693,5362.3133835158,47.8450008834662,13941.2633689339
"김지수",17,4,7,28216.9821344188,24881.7201410442,251.635593941753,4030.99744777412,3554.5314487206,35.947941991679,10665.0167823464
"김지영",27,1,12,95582.4867902304,43575.726154807,477.457629152006,7965.2072325192,3631.31051290058,39.7881357626671,27592.2872390767
"김지영",27,2,7,34533.7134087771,30370.6797473775,272.00908030461,4933.3876298253,4338.66853533964,38.8584400435157,13052.5167896001
"김지영",27,3,5,29028.0663072469,25764.9946475083,177.184473133452,5805.61326144939,5152.99892950167,35.4368946266904,12981.7459036751
"김지영",27,4,3,32916.96209611,27459.4661366649,169.266514895979,10972.3206987033,9153.15537888831,56.4221716319932,19004.6169270938
"김지호",7,1,1,14121.893877551,6528.04528301887,48.3268475968321,14121.893877551,6528.04528301887,48.3268475968321,14121.893877551
"김지호",7,2,3,1352.66121109581,1269.21918428895,51.0517482625119,450.887070365269,423.073061429649,17.0172494208373,780.959314348529
"김지호",7,3,2,2996.64404504226,2553.03340208879,40.9309592799921,1498.32202252113,1276.5167010444,20.465479639996,2118.94732505167
"김지호",7,4,1,3536.8149324861,3122.61570827489,55.4119638123919,3536.8149324861,3122.61570827489,55.4119638123919,3536.8149324861
"김태리",3,1,0,0,0,0,0,0,0,0
"김태리",3,2,0,0,0,0,0,0,0,0
"김태리",3,3,1,1813.3706377858,1704.65045248869,22.0234570246847,1813.3706377858,1704.65045248869,22.0234570246847,1813.3706377858
"김태리",3,4,2,9788.65152327957,9229.93753126789,99.7771025508054,4894.32576163978,4614.96876563395,49.8885512754027,6921.62187078301
"김하늘",10,1,1,1268.8384279476,1026.72791519435,22.0726223032513,1268.8384279476,1026.72791519435,22.0726223032513,1268.8384279476
"김하늘",10,2,7,36557.5889685417,28832.43485176,272.892775724204,5222.51270979167,4118.91926453714,38.9846822463148,13817.4698489828
"김하늘",10,3,1,1497.07825203252,1497.07825203252,34.8693398347812,1497.07825203252,1497.07825203252,34.8693398347812,1497.07825203252
"김하늘",10,4,1,9370.46488946684,7537.53922594142,67.5610013360523,9370.46488946684,7537.53922594142,67.5610013360523,9370.46488946684
"김혜수",13,1,3,10647.382754876,9154.44281368602,92.9324798406225,3549.12758495867,3051.48093789534,30.9774932802075,6147.26929969265
"김혜수",13,2,5,30617.6006268984,22451.361162439,197.757588914688,6123.52012537968,4490.2722324878,39.5515177829376,13692.607261937
"김혜수",13,3,2,3578.33532708018,2889.46988867771,50.7715625798658,1789.16766354009,1444.73494433885,25.3857812899329,2530.26517513778
