"영화명","개봉일","매출액","매출액점유율","누적매출액","관객수","누적관객수","스크린수","상영횟수","대표국적","제작사","배급사","등급","장르","감독","배우"
"웰컴 투 동막골",2005-08-04,40328508500,5.9,40328508500,6436508,6436508,356,72108,"한국","필름있수다,(주)쇼박스","(주)쇼박스","12세관람가","전쟁,드라마","박광현","신하균"
"가문의 위기(가문의 영광2)",2005-09-07,28622355500,4.2,28622355500,4529876,4529876,351,61009,"한국","(주)태원엔터테인먼트","(주)쇼박스","15세관람가","코미디","정용기","신현준"
"말아톤",2005-01-27,26284943000,3.8,26284943000,4196840,4196840,238,59493,"한국","시네라인투(주)","(주)쇼박스","전체관람가","드라마","정윤철","조승우"
"공공의 적 2",2005-01-27,20091127000,2.9,20091127000,3134421,3134421,299,40642,"한국","(주)시네마서비스","(주)시네마서비스","15세관람가","드라마","강우석","설경구"
"친절한 금자씨",2005-07-29,20483051393,3,20483051393,3119682,3119682,386,41438,"한국","(주)모호필름","CJ ENM","18세관람가","스릴러","박찬욱","이영애"
"태풍",2005-12-14,19372557600,2.8,19372557600,3035086,3035086,481,36678,"한국","CJ ENM","CJ ENM","15세관람가","드라마,액션","곽경택","김혜정"
"너는 내 운명",2005-09-23,17653752500,2.6,17653752500,2701230,2701230,306,46667,"한국","(주)영화사봄","CJ ENM","18세관람가","멜로/로맨스","박진표","전도연"
"마파도",2005-03-10,16751202503,2.5,16751202503,2636857,2636857,178,49473,"한국","코리아 엔터테인먼트","CJ ENM","15세관람가","코미디","추창민","김수미"
"태극기 휘날리며",2004-02-05,15687429500,2.3,15687429500,2544986,2544986,115,22376,"한국","강제규필름","(주)다자인소프트,(주)쇼박스","15세관람가","전쟁,드라마","강제규","장동건"
"내 생애 가장 아름다운 일주일",2005-10-07,14710541000,2.2,14710541000,2290709,2290709,296,41056,"한국","(주)두사부필름,(주)수필름","CJ ENM","15세관람가","멜로/로맨스","민규동","황정민"
"박수칠 때 떠나라",2005-08-11,13181626500,1.9,13181626500,2073641,2073641,237,32149,"한국","(주)어나더썬데이","(주)시네마서비스","15세관람가","드라마,코미디,미스터리","장진","차승원"
"광식이 동생 광태",2005-11-23,12808604009,1.9,12808604009,2024424,2024424,276,35674,"한국","(주)엠케이픽처스","(주)엠케이픽처스","15세관람가","코미디","김현석","김주혁"
"혈의 누",2005-05-04,12367486506,1.8,12367486506,1926592,1926592,264,35167,"한국","(주)싸이더스,(주)좋은영화","(주)시네마서비스","18세관람가","스릴러","김대승","차승원"
"내 머리 속의 지우개",2004-11-05,11919939500,1.7,11919939500,1885827,1885827,206,29532,"한국","(주)싸이더스","CJ ENM","12세관람가","멜로/로맨스","이재한","정우성"
"귀신이 산다",2004-09-17,11898748500,1.7,11898748500,1875936,1875936,174,27936,"한국","(주)시네마서비스","(주)시네마서비스","12세관람가","코미디,공포(호러),판타지","김상진","김응수"
"댄서의 순정",2005-04-28,11674131000,1.7,11674131000,1856759,1856759,240,36482,"한국","(주)컬처캡미디어","쇼이스트(주)","12세관람가","드라마","박영훈","박건형"
"우리 형",2004-10-08,11090682500,1.6,11090682500,1778607,1778607,211,29282,"한국","(주)진인사필름","CJ ENM","15세관람가","드라마","안권태","원빈"
"실미도",2003-12-24,9905232500,1.5,10923920500,1559134,1719165,51,13460,"한국","(주)시네마서비스","(주)시네마서비스","15세관람가","전쟁","강우석","설경구"
"잠복근무",2005-03-17,9590415500,1.4,9590415500,1533175,1533175,214,32266,"한국","(주)마인엔터테인먼트 ,시리우스픽쳐스(주)","(주)쇼박스","15세관람가","코미디,액션","박광춘","김원진"
"연애의 목적",2005-06-10,9846423390,1.4,9846423390,1524898,1524898,243,29871,"한국","(주)싸이더스","CJ ENM","18세관람가","드라마,코미디,멜로/로맨스","한재림","강혜정"
"주먹이 운다(Crying Fist)",2005-04-01,9322812000,1.4,9322812000,1462972,1462972,249,32964,"한국","(주)브라보엔터테인먼트,시오필름(주)","쇼이스트(주)","15세관람가","드라마","류승완","최민식"
"바람의 파이터",2004-08-12,9158945500,1.3,9158945500,1442299,1442299,110,15895,"한국","아이비젼엔터테인먼트(주)","영화사청어람(주)","12세관람가","액션","양윤호","양동근"
"야수와 미녀",2005-10-27,8378297000,1.2,8378297000,1339833,1339833,202,29101,"한국","시오필름(주)","(주)쇼박스","12세관람가","코미디","이계벽","류승범"
"간 큰 가족",2005-06-09,8212961893,1.2,8212961893,1305518,1305518,247,31517,"한국","(주)두사부필름","(주)쇼박스","12세관람가","코미디","조명남","감우성"
"내 여자친구를 소개합니다",2004-06-03,8329341500,1.2,8329341500,1298666,1298666,185,19289,"한국","(주)아이필름홀딩스","CJ ENM,아이러브시네마","15세관람가","멜로/로맨스,드라마","곽재용","전지현"
"늑대의 유혹",2004-07-22,8025959500,1.2,8025959500,1297296,1297296,123,12777,"한국","(주)싸이더스","(주)쇼박스","12세관람가","드라마","김태균","강동원"
"가족",2004-09-03,8051239500,1.2,8051239500,1270581,1270581,104,25473,"한국","튜브픽쳐스(주)","(주)튜브엔터테인먼트","15세관람가","드라마","이정철","수애"
"시실리 2km",2004-08-13,8049487000,1.2,8049487000,1263196,1263196,86,16919,"한국","한맥영화(주)","(주)쇼박스","15세관람가","코미디","신정원","권오중"
"작업의 정석",2005-12-21,7883887000,1.2,7883887000,1257923,1257923,260,15454,"한국","영화사청어람(주)","(주)쇼박스","15세관람가","코미디","오기환","손예진"
"B형 남자친구",2005-02-03,7324579000,1.1,7324579000,1174581,1174581,167,20316,"한국","(주)시네마제니스","롯데쇼핑㈜롯데엔터테인먼트","12세관람가","코미디","최석원","이동건"
"달콤한 인생",2005-04-01,7230710500,1.1,7230710500,1112277,1112277,265,30655,"한국","(주)영화사봄","CJ ENM","18세관람가","액션","김지운","이병헌"
"S 다이어리",2004-10-22,7024070500,1,7024070500,1098583,1098583,169,20150,"한국","(주)아이필름홀딩스","CJ ENM,아이러브시네마","15세관람가","코미디","권종관","공유"
"분홍신",2005-06-30,6768135000,1,6768135000,1072940,1072940,182,22227,"한국","청년필름(주),씨네클릭 아시아(팬텀),아이앤코스모스(주)시네와이즈필름","(주)쇼박스","15세관람가","공포(호러)","김용균","김혜수"
