"영화명","개봉일","매출액","매출액점유율","누적매출액","관객수","누적관객수","스크린수","상영횟수","대표국적","제작사","배급사","등급","장르","감독","배우"
"라듸오 데이즈",2008-01-31,1394050500,0.2,1394050500,210525,210525,253,11497,"한국","(주)싸이더스","(주)싸이더스","12세이상관람가","코미디","하기호","류승범"
"대한이, 민국씨",2008-02-14,1188129500,0.1,1188129500,208695,208695,173,9615,"한국","(주)퍼니필름","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","코미디","최진원","최성국"
"도레미파솔라시도",2008-04-03,1185999000,0.1,1185999000,197672,197672,168,11855,"한국","(주)홍상자엔터테인먼트","(주)시네마서비스","12세이상관람가","드라마","강건향","장근석"
"내 사랑",2007-12-18,1087975000,0.1,6315244000,161566,962134,168,5631,"한국","(주)오죤필름","(주)쇼박스","12세이상관람가","멜로/로맨스,드라마","이한","감우성"
"부산",2009-10-15,1172970000,0.1,1172970000,158943,158943,203,12745,"한국","(주)오죤필름","(주)싸이더스","청소년관람불가","액션,드라마","박지원","유승호"
"로맨틱 아일랜드",2008-12-24,1006594000,0.1,1006594000,151105,151105,210,8036,"한국","㈜스토리팩토리","실버스푼","15세이상관람가","멜로/로맨스,코미디","강철우","이선균"
"펜트하우스 코끼리",2009-11-05,1077396000,0.1,1077396000,142781,142781,233,10655,"한국","엘레비젼","(주)시너지하우스 (시너지)","청소년관람불가","드라마,멜로/로맨스","정승구","장혁"
"가면",2007-12-27,953588000,0.1,2139483000,141394,318614,167,5815,"한국","(주)디알엠엔터테인먼트","롯데쇼핑㈜롯데엔터테인먼트","청소년관람불가","스릴러,미스터리","양윤호","김강우"
"키친",2009-02-05,931460100,0.1,931460100,141109,141109,179,8045,"한국","(주)수필름","실버스푼","15세이상관람가","멜로/로맨스","홍지영","김태우"
"헨젤과 그레텔",2007-12-27,851394500,0.1,1970260500,134072,311539,169,5252,"한국","(주)바른손이앤에이","CJ ENM","12세이상관람가","드라마,판타지","임필성","천정명"
"구세주 2",2009-02-26,773088000,0.1,773088000,117006,117006,228,10376,"한국","(주)씨와이필름","CJ ENM","15세이상관람가","코미디","황승재","최성국"
"허밍",2008-03-13,642352000,0.1,642352000,104296,104296,168,8957,"한국","㈜더드림앤드픽쳐스","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","멜로/로맨스,드라마,판타지","박대영","이천희"
"바람",2009-11-26,740267500,0.1,740267500,102836,102836,120,4829,"한국","(주)필름더데이즈","(주)싸이더스","청소년관람불가","드라마,액션","이성한","정우"
"걸프렌즈",2009-12-17,751115000,0.1,751115000,102618,102618,245,7938,"한국","영화사 아람(주),(주)미로비젼","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","멜로/로맨스,코미디","강석범","강혜정"
"천국의 우편배달부",2009-11-12,634964500,0.1,634964500,94694,94694,105,3817,"한국","(주)삼화네트웍스","CJ ENM","전체관람가","멜로/로맨스,판타지","이형민","한효주"
"그 남자의 책 198쪽",2008-10-23,587173500,0.1,587173500,93445,93445,221,9355,"한국","(주)디에스피미디어","(주)성원아이컴","12세이상관람가","멜로/로맨스,드라마,애니메이션","김정권","이동욱"
"어린 왕자",2008-01-17,493278500,0.1,493278500,83354,83354,181,7784,"한국","(주)앤알커뮤니케이션,(주)피플앤픽쳐스","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","드라마","최종현","탁재훈"
"외톨이",2008-09-18,476386500,0.1,476386500,74615,74615,201,6868,"한국","영화사다물(주)","(주)성원아이컴","15세이상관람가","공포(호러),스릴러","박재식","정유석"
"당신이 잠든 사이에",2008-08-14,448246500,0.1,448246500,67659,67659,169,5108,"한국","케이엠컬쳐㈜","(주)엠플러스픽쳐스","15세이상관람가","코미디","김정민","예지원"
"4교시 추리영역",2009-08-12,459533500,0.1,459533500,67602,67602,170,4904,"한국","스웨이엔터테인먼트","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","공포(호러),스릴러","이상용","김호연"
"흑심모녀",2008-06-12,389374500,0,389374500,59695,59695,178,7043,"한국","㈜이룸영화사","(주)쇼박스","12세이상관람가","가족,멜로/로맨스,코미디,판타지","조남호","심혜진"
"내 눈에 콩깍지",2009-11-05,399501500,0,399501500,54331,54331,123,5005,"한국","(주)삼화네트웍스","CJ ENM","12세이상관람가","멜로/로맨스,코미디","이장수","이지아"
"킬 미",2009-11-05,386192500,0,386192500,50730,50730,168,6377,"한국","(주)싸이더스","(주)싸이더스","청소년관람불가","멜로/로맨스,코미디","양종현","신현준"
"서울이 보이냐",2008-05-08,309575000,0,309575000,50699,50699,125,4802,"한국","(주)라인픽처스","(주)시네마서비스","전체관람가","가족,드라마","송동윤","유승호"
"잘못된 만남",2008-07-10,308882000,0,308882000,47555,47555,143,4626,"한국","(주)씨네라가픽쳐스","토이 엔터테인먼트","15세이상관람가","드라마,코미디","정영배","김수정"
"스페어",2008-08-28,299645000,0,299645000,45282,45282,62,2900,"한국","(주)필름더데이즈","(주)필름더데이즈","15세이상관람가","액션","이성한","정우"
"용의주도 미스신",2007-12-18,281245500,0,3743082000,42328,579973,64,1871,"한국","(주)로드픽쳐스,(주)싸이더스","(주)싸이더스","15세이상관람가","멜로/로맨스,코미디","박용집","한예슬"
"19-Nineteen",2009-11-12,208491500,0,208491500,32433,32433,64,1874,"한국","(주)삼화네트웍스","CJ ENM","12세이상관람가","드라마","장용우","T.O"
"날나리 종부전",2008-05-22,181323000,0,181323000,31236,31236,162,4120,"한국","(주)필름캔","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","코미디","임원국","박정아"
"비상",2009-12-03,221371000,0,221371000,28964,28964,165,4813,"한국","(주)디디오엘필름","(주)성원아이컴","청소년관람불가","액션,드라마,멜로/로맨스","박정훈","김범"
"무림여대생",2008-06-26,176330500,0,176330500,27714,27714,205,4715,"한국","포도필름,파랑새필름","(주)베어엔터테인먼트,(주)프라임엔터테인먼트","15세이상관람가","멜로/로맨스,액션,코미디","곽재용","신민아"
"4요일: 자살을 부르는 요일",2008-12-11,182990000,0,182990000,26962,26962,132,3825,"한국","(주)재하엔터테인먼트","메가픽쳐스제이씨(주)","청소년관람불가","공포(호러),스릴러","서민영","정운택"
"싸이보그 그녀",2009-05-14,136587500,0,136587500,20696,20696,111,2707,"한국","마루온(주)","(주)넥스트엔터테인먼트월드(NEW)","12세이상관람가","코미디,멜로/로맨스,SF","곽재용","아야세"
"방울토마토",2008-05-29,115388000,0,115388000,18478,18478,83,1951,"한국","(주)P&J시네마","무비즈엔터테인먼트㈜,(주)씨네라가픽쳐스","12세이상관람가","가족,드라마","정영배","신구"
"하늘과 바다",2009-10-28,120315500,0,120315500,17857,17857,186,3769,"한국","(주)라원문화","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","드라마","오달균","장나라"
"세븐 데이즈",2007-11-14,78266000,0,13720377000,12304,2048339,9,556,"한국","(주)영화사윤앤준","(주)프라임엔터테인먼트","청소년관람불가","스릴러,범죄","원신연","김윤진"
"맨데이트: 신이 주신 임무",2008-10-30,78955000,0,78955000,12144,12144,89,2362,"한국","메가픽쳐스제이씨(주)","메가픽쳐스제이씨(주)","청소년관람불가","스릴러,액션,판타지","박희준","재희"
"사랑과 전쟁:열두 번째 남자",2008-09-25,47050000,0,47050000,7414,7414,37,1312,"한국","케이비에스미디어(주),트윈픽처스","롯데쇼핑㈜롯데시네마","청소년관람불가","드라마","곽기원","이주나"
"용서는 없다",2010-01-07,52462000,0,52462000,6877,6877,16,28,"한국","㈜더드림앤드픽쳐스,(주)시네마서비스","(주)시네마서비스","청소년관람불가","범죄,스릴러","김형준","설경구"
"제7회 미장센단편영화제(2008)",2008-06-26,21798000,0,21798000,5266,5266,3,57,"한국",NA,NA,NA,"기타",NA,NA
"동거, 동락",2008-03-27,32156500,0,32156500,5226,5226,8,480,"한국","(주)알지엔터웍스","(주)쇼박스","청소년관람불가","멜로/로맨스,드라마","김태희","김청"
"미안하다 독도야",2008-12-31,31293500,0,31293500,5165,5165,51,767,"한국","지오엔터테인먼트","메가픽쳐스제이씨(주)","전체관람가","다큐멘터리","최현묵","김성도"
"트라이앵글",2009-11-19,33850000,0,33850000,4504,4504,58,1061,"한국","(주)삼화네트웍스","CJ ENM","전체관람가","드라마,미스터리","지영수","안재욱"
"초감각 커플",2008-11-27,24641500,0,24641500,3732,3732,6,239,"한국","(주)크로스필름","필름메신저","12세이상관람가","멜로/로맨스,미스터리","김형주","진구"
"색다른 동거",2008-04-17,15663500,0,15663500,2780,2780,17,381,"한국","㈜더드림앤드픽쳐스",NA,"청소년관람불가","멜로/로맨스,성인물(에로),코미디","김정우,손승진","김혁"
"쉿! 그녀에겐 비밀이에요",2008-09-04,15008500,0,15008500,2382,2382,39,565,"한국","(주)이라이트비전","(주)스튜디오이쩜영","12세이상관람가","드라마,멜로/로맨스,코미디","이인수","최찬숙"
"전투의 매너",2008-04-17,9777000,0,9777000,1788,1788,17,339,"한국","㈜더드림앤드픽쳐스",NA,"청소년관람불가","멜로/로맨스,성인물(에로),코미디","장항준","서유정"
"아름답다",2008-02-14,10846500,0,10846500,1700,1700,5,242,"한국","(주)김기덕 필름,스폰지","(주)스폰지이엔티,스폰지","청소년관람불가","드라마","전재홍","차수연"
"웨딩드레스",2010-01-14,11564000,0,11564000,1652,1652,6,9,"한국","(주)로드픽쳐스,(주)인벤트스톤","(주)싸이더스","전체관람가","드라마","권형진","송윤아"
"식객",2007-11-01,7172000,0,18979312500,1178,2964374,2,161,"한국","쇼이스트(주)","CJ ENM","12세이상관람가","드라마","전윤수","김강우"
"싸움",2007-12-12,7318000,0,2195870500,1140,342119,4,165,"한국","(주)시네마서비스,상상필름(주)","(주)시네마서비스","15세이상관람가","멜로/로맨스,코미디","한지승","설경구"
"압록강은 흐른다",2009-06-04,3360500,0,3360500,797,797,1,22,"한국","SBS프로덕션","주식회사 루믹스미디어","전체관람가","드라마,사극","이종한","신구"
"아스라이",2008-01-11,3299500,0,3299500,534,534,2,96,"한국","(주)싸이더스,동국대학교","㈜인디스토리","12세이상관람가","드라마","김삼력","김신록"
"돌멩이의 꿈",2009-12-10,3572500,0,3572500,515,515,10,125,"한국","(주)삼화네트웍스","CJ ENM","12세이상관람가","드라마","장용우","차인표"
"낙원-파라다이스",2009-11-26,3484500,0,3484500,467,467,11,152,"한국","(주)삼화네트웍스","CJ ENM","12세이상관람가","멜로/로맨스,드라마","이장수","지진희"
"천년여우 여우비",2007-01-25,1790000,0,2496355500,411,460925,4,37,"한국","선우애니메이션,(주)옐로우필름","CJ ENM","전체관람가","애니메이션,가족,판타지","이성강","손예진"
"빼꼼의 머그잔 여행",2007-03-22,1180000,0,560547500,396,130697,1,38,"한국","(합)알지애니메이션스튜디오","(합)알지애니메이션스튜디오,씨제이 씨지브이(CJ CGV)(주)","전체관람가","드라마,어드벤처","임아론","이선"
"마지막 밥상",2008-04-11,2410000,0,2410000,372,372,2,55,"한국","㈜기억속의매미","㈜기억속의매미,독립영화전용관 인디스페이스","18세관람가","드라마","노경태","홍석연"
"즐거운 인생",2007-09-13,1878000,0,7874566500,368,1202719,2,16,"한국","(주)영화사아침","CJ ENM","전체관람가","드라마","이준익","김상호"
"결혼식 후에",2009-12-03,2513000,0,2513000,343,343,9,138,"한국","(주)삼화네트웍스","CJ ENM","12세이상관람가","멜로/로맨스,코미디,드라마","김윤철","신성우"
"그림자",2007-10-18,1818500,0,2556000,310,435,1,51,"한국","(주)디씨지플러스,롬버스 미디어","(주)스폰지이엔티","15세이상관람가","공포(호러),드라마","이정국,김민숙","전보영"
"약수터 부르스",2009-11-26,2103000,0,2103000,302,302,3,58,"한국","반딧불필름 주식회사","롯데쇼핑㈜롯데시네마","15세이상관람가","코미디,드라마","손재명","배건식"
"핑크 토끼",2009-08-20,1558500,0,1558500,262,262,3,53,"한국","한코리아","한코리아","15세이상관람가","드라마","김회근","고다미"
"검은 집",2007-06-21,1248000,0,8842295700,249,1322196,10,50,"한국","CJ ENM,가도카와헤럴드픽쳐스","CJ ENM","청소년관람불가","스릴러,미스터리,공포(호러)","신태라","김혜정"
"나의 스캔들",2008-03-27,1780000,0,1780000,232,232,1,15,"한국","주식회사 루믹스미디어",NA,"15세이상관람가","멜로/로맨스,드라마","신정균","서린"
"작가를 만나다-신동일의",2008-05-17,808000,0,808000,179,179,1,1,"한국",NA,NA,NA,"드라마",NA,NA
"젊은 영화제",2008-02-14,542000,0,542000,136,136,1,13,"한국",NA,NA,"고등학생이상관람가","기타",NA,NA
"리턴",2007-08-08,591000,0,4271881500,118,641852,8,37,"한국","(주)아름다운영화사,로터스필름(주)","CJ ENM","청소년관람불가","미스터리,스릴러","이규만","김명민"
"중앙대학교졸업작품전-섹션4",2008-12-12,351000,0,351000,117,117,1,4,"한국",NA,NA,NA,"드라마",NA,NA
"인디포럼2008-국내신작 10",2008-06-05,747000,0,747000,111,111,1,3,"한국",NA,NA,NA,"드라마",NA,NA
"중앙대학교졸업작품전-섹션6",2008-12-12,324000,0,324000,108,108,1,4,"한국",NA,NA,NA,"드라마",NA,NA
