"영화명","개봉일","매출액","매출액점유율","누적매출액","관객수","누적관객수","스크린수","상영횟수","대표국적","제작사","배급사","등급","장르","감독","배우"
"해운대",2009-07-22,81025004000,9.2,81025004000,11324433,11324433,764,154277,"한국","(주)제이케이필름","CJ ENM","12세이상관람가","액션,드라마,어드벤처","윤제균","설경구"
"과속스캔들",2008-12-03,53800771400,6.1,53800771400,8223266,8223266,408,145555,"한국","(주)토일렛픽쳐스,(주)디씨지플러스","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","코미디","강형철","차태현"
"국가대표",2009-07-29,57570773000,6.5,57570773000,8035181,8035181,570,131671,"한국","케이엠컬쳐㈜","(주)쇼박스","12세이상관람가","드라마,액션,코미디","김용화","하정우"
"좋은 놈, 나쁜 놈, 이상한 놈",2008-07-17,43754257000,5,43754257000,6685845,6685845,824,93574,"한국","(주)다크서클픽쳐스,(주)바른손이앤에이","CJ ENM","15세이상관람가","서부극(웨스턴),액션,어드벤처","김지운","송강호"
"추격자",2008-02-14,33986959000,3.9,33986959000,5046096,5046096,433,106805,"한국","(주)영화사비단길","(주)쇼박스","청소년관람불가","범죄,스릴러,액션","나홍진","김윤석"
"강철중: 공공의 적 1-1",2008-06-19,28638460100,3.3,28638460100,4313101,4313101,707,74157,"한국","(주)시네마서비스글로벌,(주)시네마서비스","CJ ENM,(주)시네마서비스","15세이상관람가","드라마,액션","강우석","설경구"
"7급 공무원",2009-04-22,26380710000,3,26380710000,4039891,4039891,475,90779,"한국","(주)하리마오픽쳐스,(주)영화사수작,(주)디씨지플러스","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","코미디,액션,드라마,범죄","신태라","김하늘"
"우리 생애 최고의 순간",2008-01-10,26113394000,3,26119898000,4018059,4018872,418,70721,"한국","(주)엠케이픽처스","(주)싸이더스","전체관람가","드라마","임순례","문소리"
"쌍화점",2008-12-30,25411823400,2.9,25411823400,3749034,3749034,532,72498,"한국","오퍼스픽쳐스(유)","(주)쇼박스","청소년관람불가","드라마","유하","조인성"
"신기전",2008-09-04,24326346000,2.8,24326346000,3728429,3728429,585,78463,"한국","(주)시네마서비스글로벌","CJ ENM","15세이상관람가","사극,드라마,액션,전쟁","김유진","정재영"
"거북이 달린다",2009-06-11,20618276000,2.3,20618276000,3024666,3024666,432,69946,"한국","(주)씨네이천","(주)쇼박스","15세이상관람가","드라마,액션,범죄","이연우","김윤석"
"마더",2009-05-28,19967362500,2.3,19967362500,2979213,2979213,642,71401,"한국","(주)바른손이앤에이","CJ ENM","청소년관람불가","드라마","봉준호","김혜자"
"굿모닝 프레지던트",2009-10-22,18567863300,2.1,18567863300,2554960,2554960,586,69955,"한국","소란플레이먼트(주)","CJ ENM","전체관람가","코미디,드라마","장진","한동학"
"전우치",2009-12-23,17747602000,2,17747602000,2453883,2453883,612,29179,"한국","영화사 집","CJ ENM","12세이상관람가","액션,코미디,판타지","최동훈","강동원"
"미인도",2008-11-13,15655329500,1.8,15655329500,2342579,2342579,450,69523,"한국","㈜이룸영화사,(주)영화사참","CJ ENM","청소년관람불가","사극,드라마,멜로/로맨스","전윤수","김민선"
"박쥐",2009-04-30,14835490500,1.7,14835490500,2205600,2205600,499,45395,"한국","(주)모호필름","CJ ENM","청소년관람불가","공포(호러),드라마","박찬욱","송강호"
"내 사랑 내 곁에",2009-09-24,15584755500,1.8,15584755500,2135509,2135509,478,65168,"한국","영화사 집","CJ ENM","12세이상관람가","드라마,멜로/로맨스","박진표","하지원"
"눈에는 눈 이에는 이",2008-07-31,13410811500,1.5,13410811500,2058616,2058616,445,46474,"한국","(주)태원엔터테인먼트","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","범죄,스릴러,액션","곽경택,안권태","한석규"
"애자",2009-09-09,13633710500,1.5,13633710500,1901694,1901694,376,65490,"한국","시리우스픽쳐스(주)","(주)시너지하우스 (시너지)","15세이상관람가","드라마,코미디","정기훈","김성태"
"그림자 살인",2009-04-02,12659065000,1.4,12659065000,1892467,1892467,387,54046,"한국","CJ ENM","CJ ENM","15세이상관람가","미스터리,스릴러,사극,범죄","박대민","송요셉"
"아내가 결혼했다",2008-10-23,12062180000,1.4,12062180000,1799447,1799447,417,57496,"한국","(주)주피터필름","CJ ENM","청소년관람불가","멜로/로맨스,드라마","정윤수","손예진"
"차우",2009-07-15,12531840500,1.4,12531840500,1778843,1778843,397,41354,"한국","(주)영화사수작","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","액션,어드벤처,코미디","신정원","엄태웅"
"님은 먼 곳에",2008-07-24,11206382000,1.3,11206382000,1706495,1706495,499,36581,"한국","(주)타이거픽쳐스","(주)쇼박스","15세이상관람가","드라마,전쟁","이준익","수애"
"불꽃처럼 나비처럼",2009-09-24,12302961500,1.4,12302961500,1670652,1670652,441,57300,"한국","(주)싸이더스","(주)쇼박스","15세이상관람가","멜로/로맨스,사극","김용균","최경원"
"고死 : 피의 중간고사",2008-08-07,10300791000,1.2,10300791000,1634192,1634192,270,42719,"한국","(주)코어콘텐츠미디어,(주)워터앤트리","에스케이텔레콤(주)","15세이상관람가","공포(호러),스릴러","창","이범수"
"무방비도시",2008-01-10,10591149500,1.2,10591149500,1600856,1600856,336,38306,"한국","쌈지아이비젼영상사업단","CJ ENM","15세이상관람가","범죄,액션","이상기","김명민"
"원스어폰어타임",2008-01-31,10136738500,1.2,10136738500,1544486,1544486,314,37679,"한국","윈엔터테인먼트","(유)씨에이치엔터테인먼트","12세이상관람가","액션,코미디","정용기","박용우"
"유감스러운 도시",2009-01-22,10289635500,1.2,10289635500,1532632,1532632,375,35055,"한국","(주)주머니이엔티","CJ ENM","15세이상관람가","코미디,액션,범죄","김동원","정준호"
"작전",2009-02-12,10086067500,1.1,10086067500,1517096,1517096,393,50216,"한국","(주)영화사비단길","(주)쇼박스","15세이상관람가","범죄,드라마,스릴러","이호재","박용하"
"더 게임",2008-01-30,9807963501,1.1,9807963501,1479859,1479859,338,31877,"한국","(주)프라임엔터테인먼트",NA,"15세이상관람가","스릴러","윤인호","변희봉"
"청담보살",2009-11-11,9563845500,1.1,9563845500,1301582,1301582,387,42791,"한국","(주)전망좋은 영화사","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","멜로/로맨스,코미디","김진영","임창정"
"킹콩을 들다",2009-07-01,8851762500,1,8851762500,1262850,1262850,411,42626,"한국","(주)알지엔터웍스,(주)씨엘엔터테인먼트","(주)넥스트엔터테인먼트월드(NEW)","전체관람가","드라마","박건용","이범수"
"인사동 스캔들",2009-04-29,7780811000,0.9,7780811000,1187684,1187684,305,33106,"한국","(주)쌈지","에스케이텔레콤(주)","15세이상관람가","드라마,범죄,액션","박희곤","김래원"
"서양 골동 양과자점 앤티크",2008-11-13,7420399500,0.8,7420399500,1181322,1181322,436,42157,"한국","영화사 집,(주)수필름","오퍼스픽쳐스(유),(주)쇼박스","15세이상관람가","드라마","민규동","주지훈"
"6년째 연애중",2008-02-05,7422697000,0.8,7422697000,1112238,1112238,326,27464,"한국","(주)피카소필름","(주)스튜디오210","15세이상관람가","멜로/로맨스,드라마","박현진","김하늘"
"시크릿",2009-12-03,7951016500,0.9,7951016500,1042613,1042613,408,34398,"한국","(주)그린피쉬픽쳐스,(주)제이케이필름","CJ ENM","청소년관람불가","스릴러,드라마,미스터리","윤재구","차승원"
"바보",2008-02-28,6306816500,0.7,6306816500,967654,967654,264,33564,"한국","(주)와이어투와이어필름","CJ ENM","12세이상관람가","드라마","김정권","차태현"
"백야행",2009-11-19,7120680000,0.8,7120680000,949770,949770,387,30346,"한국","(주)시네마서비스,폴룩스픽쳐스(주)","(주)시네마서비스","청소년관람불가","멜로/로맨스,미스터리,범죄,스릴러","박신우","한석규"
"GP 506",2008-04-03,6316842000,0.7,6316842000,936945,936945,355,35830,"한국","(주)보코픽쳐스","(주)쇼박스","청소년관람불가","공포(호러),미스터리,스릴러","공수창","천호진"
"크로싱",2008-06-26,5651660500,0.6,5651660500,898000,898000,304,28099,"한국","(주)캠프비","(주)벤티지홀딩스","12세이상관람가","드라마","김태균","차인표"
"숙명",2008-03-20,5680873500,0.6,5680873500,846903,846903,340,29178,"한국","엠케이디케이","CJ ENM","청소년관람불가","드라마,액션","김해곤","송승헌"
"마린보이",2009-02-05,5503176500,0.6,5503176500,827647,827647,340,26345,"한국","리얼라이즈픽쳐스(주)","CJ ENM","15세이상관람가","액션,스릴러,범죄","윤종석","김강우"
"모던보이",2008-10-02,4992149500,0.6,4992149500,762337,762337,371,28922,"한국","(주)시네마서비스글로벌,(주)시네마서비스","CJ ENM","12세이상관람가","드라마,멜로/로맨스,미스터리","정지우","이새별"
"순정만화",2008-11-27,4682641000,0.5,4682641000,731706,731706,368,26483,"한국","㈜렛츠필름,영화사청어람(주)","CJ ENM","12세이상관람가","멜로/로맨스,코미디","류장하","유지태"
"김씨표류기",2009-05-14,4736518000,0.5,4736518000,724987,724987,273,25946,"한국","반짝반짝영화사(주)","(주)시네마서비스","12세이상관람가","코미디,드라마","이해준","정재영"
"슬픔보다 더 슬픈 이야기",2009-03-11,4724214000,0.5,4724214000,715800,715800,353,35118,"한국","(주)코어콘텐츠미디어","(주)쇼박스","15세이상관람가","멜로/로맨스,드라마","원태연","권상우"
"울학교 이티",2008-09-11,4159767500,0.5,4159767500,652178,652178,296,21819,"한국","㈜커리지필름","에스케이텔레콤(주)","15세이상관람가","드라마,코미디","박광춘","김수로"
"여고괴담 5",2009-06-18,4158738000,0.5,4158738000,644717,644717,318,31631,"한국","(주)씨네이천","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","공포(호러),스릴러","이종용","오연서"
"실종",2009-03-19,4346511500,0.5,4346511500,644276,644276,262,31373,"한국","활동사진,모션픽쳐","(주)시너지하우스 (시너지)","청소년관람불가","범죄,스릴러,미스터리","김성홍","문성근"
"다찌마와리",2008-08-14,4128754000,0.5,4128754000,628359,628359,299,23414,"한국","(주)외유내강,(주)쇼박스","(주)쇼박스","12세이상관람가","액션,어드벤처,코미디","류승완","임원희"
"핸드폰",2009-02-19,4221938000,0.5,4221938000,622486,622486,357,25062,"한국","(주)씨네토리,(주)한컴","에스케이텔레콤(주)","청소년관람불가","스릴러","김한민","엄태웅"
"홍길동의 후예",2009-11-26,4257555000,0.5,4257555000,611848,611848,382,25163,"한국","시오필름(주),어나더픽쳐스(주)","에스케이텔레콤(주)","12세이상관람가","액션,코미디,드라마","정용기","서민균"
"고고 70",2008-10-03,3865123500,0.4,3865123500,595145,595145,369,26844,"한국","(주)보경사","(주)쇼박스","15세이상관람가","드라마","최호","곽선영"
"뜨거운 것이 좋아",2008-01-17,3790163000,0.4,3790477000,578679,578732,256,20607,"한국","(주)시네마서비스","(주)시네마서비스","15세이상관람가","드라마","권칠인","이미숙"
"슈퍼맨이었던 사나이",2008-01-31,3642192500,0.4,3642192500,550284,550284,386,22074,"한국","CJ ENM","CJ ENM","전체관람가","드라마,코미디","정윤철","홍희자"
"트럭",2008-09-25,3730899000,0.4,3730899000,550195,550195,258,23432,"한국","(주)싸이더스","(주)싸이더스","청소년관람불가","범죄,스릴러","권형진","유해진"
"미쓰 홍당무",2008-10-16,3603598500,0.4,3603598500,539031,539031,285,25447,"한국","(주)모호필름","(주)벤티지홀딩스","청소년관람불가","드라마,코미디","이경미","공효진"
"달콤한 거짓말",2008-12-18,3122965500,0.4,3122965500,471310,471310,340,19594,"한국","CJ ENM","CJ ENM","12세이상관람가","멜로/로맨스,코미디","정정화","김선아"
"오감도",2009-07-09,3074373500,0.3,3074373500,438808,438808,302,15636,"한국","데이지엔터테인먼트,(주)컬처캡미디어","(주)시너지하우스 (시너지)","청소년관람불가","드라마,멜로/로맨스","허진호,오기환","김강우"
"아기와 나",2008-08-14,2669249500,0.3,2669249500,435940,435940,217,16416,"한국","(주)프라임엔터테인먼트","(주)프라임엔터테인먼트","12세이상관람가","드라마,코미디","김진영","장근석"
"10억",2009-08-06,3107403000,0.4,3107403000,433866,433866,252,12744,"한국","(주)이든픽쳐스","(주)싸이더스","15세이상관람가","스릴러,어드벤처","조민호","박해일"
"기다리다 미쳐",2008-01-01,2724157000,0.3,2865110500,419687,441337,239,17287,"한국","블루버스 픽쳐스,(주)아이필름홀딩스","(주)시네마서비스","15세이상관람가","멜로/로맨스","류승진","손태영"
"국가대표 완결판-못 다한 이야기",2009-09-10,2647781500,0.3,2647781500,357436,357436,82,8509,"한국","케이엠컬쳐㈜","(주)쇼박스","12세이상관람가","드라마,코미디","김용화","하정우"
"정승필 실종사건",2009-10-08,2296093000,0.3,2296093000,318852,318852,261,19824,"한국","화이트리시네마","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","코미디","강석범","김선영"
"색즉시공 시즌2",2007-12-12,2034600000,0.2,13466476000,299326,2002423,208,9466,"한국","(주)두사부필름","CJ ENM","청소년관람불가","코미디","윤태윤","임창정"
"1724 기방난동사건",2008-12-03,1897970000,0.2,1897970000,288452,288452,340,19036,"한국","(주)싸이더스","(주)싸이더스","15세이상관람가","사극,액션,코미디","여균동","이정재"
"호우시절",2009-10-08,2139360500,0.2,2139360500,287712,287712,313,21164,"한국","판씨네마(주)","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","멜로/로맨스","허진호","정우성"
"가루지기",2008-04-30,1777803000,0.2,1777803000,269478,269478,311,17600,"한국","(주)프라임엔터테인먼트","(주)쇼박스","청소년관람불가","드라마,뮤지컬,코미디","신한솔","봉태규"
"요가학원",2009-08-20,1927358500,0.2,1927358500,268627,268627,251,15251,"한국","오퍼스픽쳐스(유)","(주)싸이더스","15세이상관람가","공포(호러)","윤재연","유진"
"마지막 선물",2008-02-05,1740290500,0.2,1740290500,265362,265362,262,12913,"한국","(주)태원엔터테인먼트","(주)쇼박스","15세이상관람가","드라마","김영준","신현준"
"마이 뉴 파트너",2008-03-06,1699031500,0.2,1699031500,260734,260734,220,15833,"한국","케이엠컬쳐㈜","(주)엠플러스픽쳐스","15세이상관람가","액션,코미디","김종현","안성기"
"걸스카우트",2008-06-05,1545587500,0.2,1545587500,248813,248813,265,13200,"한국","(주)보경사","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","드라마,범죄,코미디","김상만","나문희"
"불신지옥",2009-08-12,1795734500,0.2,1795734500,248284,248284,237,10821,"한국","(주)영화사아침","(주)쇼박스","15세이상관람가","미스터리,공포(호러)","이용주","남상미"
"우리 집에 왜 왔니",2009-04-09,1411607500,0.2,1411607500,217478,217478,225,14538,"한국","㈜어거스트","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","드라마,멜로/로맨스,코미디","황수아","강혜정"
