"영화명","개봉일","매출액","매출액점유율","누적매출액","관객수","누적관객수","스크린수","상영횟수","대표국적","제작사","배급사","등급","장르","감독","배우"
"택시운전사",2017-08-02,95853645649,5.3,95853645649,12186327,12186327,1906,184075,"한국","더램프(주)","(주)쇼박스","15세이상관람가","드라마","장훈","이수민"
"부산행",2016-07-20,93182579048,5.2,93182579048,11566862,11566862,1788,151350,"한국","(주)영화사레드피터","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","액션,스릴러","연상호","공유"
"검사외전",2016-02-03,77320403264,4.3,77320403264,9707581,9707581,1812,153532,"한국","(주)영화사 월광,(주)사나이픽처스","(주)쇼박스","15세이상관람가","범죄,코미디","이일형","황정민"
"신과함께-죄와 벌",2017-12-20,68350496432,3.8,68350496432,8539495,8539495,1912,91301,"한국","리얼라이즈픽쳐스(주),(주)덱스터스튜디오","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","판타지,드라마","김용화","하정우"
"공조",2017-01-18,63783051326,3.5,63783051326,7817618,7817618,1392,142989,"한국","(주)제이케이필름,(주)씨제이이엔엠,영화사 이창,(주)에이치비엔터테인먼트","(주)씨제이이엔엠","15세이상관람가","액션","김성훈","이재남"
"밀정",2016-09-07,61270079831,3.4,61270079831,7500457,7500457,1444,138162,"한국","(주)다크서클픽쳐스,워너브러더스 코리아(주),(주)영화사하얼빈","워너브러더스 코리아(주)","15세이상관람가","액션","김지운","송강호"
"마스터",2016-12-21,58068236865,3.2,58068236865,7150586,7150586,1501,126927,"한국","영화사 집","(주)씨제이이엔엠","15세이상관람가","액션,범죄","조의석","이병헌"
"터널",2016-08-10,57530028417,3.2,57530028417,7120780,7120780,1105,113214,"한국","(주)어나더썬데이,(주)비에이엔터테인먼트","(주)쇼박스","12세이상관람가","드라마","김성훈","하정우"
"인천상륙작전",2016-07-27,55105606303,3.1,55105606303,7050475,7050475,1049,97032,"한국","(주)태원엔터테인먼트","(주)씨제이이엔엠","12세이상관람가","전쟁,드라마","이재한","김정철"
"럭키",2016-10-13,56445023256,3.1,56445023256,6975571,6975571,1234,155990,"한국","(주)용필름","(주)쇼박스","15세이상관람가","코미디","이계벽","김운"
"곡성",2016-05-12,55864308382,3.1,55864308382,6879989,6879989,1485,130332,"한국","(주)사이드미러,이십세기폭스 인터내셔널 프로덕션","이십세기폭스코리아(주)","15세이상관람가","미스터리,스릴러,드라마","나홍진","곽도원"
"범죄도시",2017-10-03,56318014149,3.1,56318014149,6879841,6879841,1315,149334,"한국","(주)홍필름,(주)비에이엔터테인먼트","메가박스중앙(주)플러스엠,(주)키위미디어그룹","청소년관람불가","범죄,액션","강윤성","마동석"
"군함도",2017-07-26,50510565168,2.8,50510565168,6592151,6592151,2027,108775,"한국","(주)외유내강,(주)필름케이","(주)씨제이이엔엠","15세이상관람가","액션,드라마","류승완","황정민"
