"영화명","개봉일","매출액","매출액점유율","누적매출액","관객수","누적관객수","스크린수","상영횟수","대표국적","제작사","배급사","등급","장르","감독","배우"
"도둑들",2012-07-25,93665568500,5.4,93665568500,12983330,12983330,1091,155393,"한국","(주)케이퍼필름","(주)쇼박스","15세이상관람가","액션,범죄","최동훈","김윤석"
"7번방의 선물",2013-01-23,91431914670,5.3,91431914670,12811206,12811206,866,166815,"한국","(주)화인웍스,(주)씨엘엔터테인먼트","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","코미디,드라마","이환경","류승룡"
"광해, 왕이 된 남자",2012-09-13,88907726769,5.1,88907726769,12323291,12323291,1001,203428,"한국","리얼라이즈픽쳐스(주),(주)씨제이이엔엠","(주)씨제이이엔엠","15세이상관람가","사극,드라마","추창민","이병헌"
"설국열차",2013-08-01,67010087500,3.9,67010087500,9349993,9349993,1128,124823,"한국","(주)모호필름,오퍼스픽쳐스(유)","(주)씨제이이엔엠","15세이상관람가","SF,액션","봉준호","크리스"
"관상",2013-09-11,66005427500,3.8,66005427500,9134581,9134581,1240,125073,"한국","(주)주피터필름,(주)쇼박스","(주)쇼박스","15세이상관람가","사극,드라마","한재림","송강호"
"베를린",2013-01-30,52355568637,3,52355568637,7166290,7166290,894,111744,"한국","(주)외유내강,(주)씨제이이엔엠","(주)씨제이이엔엠","15세이상관람가","액션","류승완","하정우"
"은밀하게 위대하게",2013-06-05,48700887413,2.8,48700887413,6959083,6959083,1341,117461,"한국","(주)엠씨엠씨","(주)쇼박스","15세이상관람가","액션,코미디,드라마","장철수","김수현"
"늑대소년",2012-10-31,46593140500,2.7,46593140500,6654842,6654842,854,109134,"한국","(주)영화사비단길","(주)씨제이이엔엠","15세이상관람가","멜로/로맨스,드라마,판타지","조성희","송중기"
"변호인",2013-12-18,40953398000,2.4,40953398000,5687047,5687047,923,55006,"한국","위더스필름(주)","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","드라마","양우석","송강호"
"숨바꼭질",2013-08-14,39602977500,2.3,39602977500,5604103,5604103,779,88062,"한국","(주)드림캡쳐","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","스릴러","허정","손현주"
"더 테러 라이브",2013-07-31,39869706381,2.3,39869706381,5584139,5584139,809,93488,"한국","(주)씨네이천","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","범죄,기타","김병우","하정우"
"감시자들",2013-07-03,39380162179,2.3,39380162179,5508017,5508017,949,100309,"한국","영화사 집","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","범죄,액션","조의석,김병서","설경구"
"타워",2012-12-25,37654858000,2.2,37654858000,5181014,5181014,638,81147,"한국","(주)씨제이이엔엠,(주)더타워픽쳐스","(주)씨제이이엔엠","12세이상관람가","드라마","김지훈","설경구"
"바람과 함께 사라지다",2012-08-08,34614661161,2,34614661161,4909937,4909937,694,78591,"한국","(주)두타연,(주)에이디사공육","(주)넥스트엔터테인먼트월드(NEW)","12세이상관람가","코미디,사극","김주호","차태현"
"범죄와의 전쟁: 나쁜놈들 전성시대",2012-02-02,36540327500,2.1,36540327500,4720050,4720050,713,91892,"한국","(주)팔레트픽처스,(주)쇼박스","(주)쇼박스","청소년관람불가","범죄,드라마","윤종빈","최민식"
"신세계",2013-02-21,34881330905,2,34881330905,4682492,4682492,671,90580,"한국","(주)사나이픽처스,(주)페퍼민트앤컴퍼니,(주)대명문화공장,(주)파트너스케이","(주)넥스트엔터테인먼트월드(NEW)","청소년관람불가","범죄,액션","박훈정","이정재"
"내 아내의 모든 것",2012-05-17,34224467500,2,34224467500,4598985,4598985,563,91777,"한국","(주)수필름,영화사 집","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","코미디,멜로/로맨스","민규동","임수정"
"연가시",2012-07-05,32175400664,1.9,32175400664,4515833,4515833,759,71928,"한국","(주)오죤필름","(주)씨제이이엔엠","15세이상관람가","공포(호러),SF","박정우","김명민"
"건축학개론",2012-03-22,30223590400,1.7,30223590400,4111237,4111237,593,106069,"한국","(주)명필름","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","멜로/로맨스,드라마","이용주","엄태웅"
"댄싱퀸",2012-01-18,30130775500,1.7,30130775500,4058225,4058225,544,80987,"한국","(주)제이케이필름,(주)씨제이이엔엠","(주)씨제이이엔엠","12세이상관람가","코미디,드라마","이석훈","황정민"
"박수건달",2013-01-09,28379548569,1.6,28379548569,3897969,3897969,603,60604,"한국","주식회사 제이앤피,박수건달문화산업전문(유),(주)쇼박스","(주)쇼박스","15세이상관람가","코미디","조진규","박신양"
"부러진 화살",2012-01-18,25878629500,1.5,25937273000,3451025,3459864,530,71560,"한국","(주)아우라픽처스","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","드라마","정지영","안성기"
"스파이",2013-09-05,24509278305,1.4,24509278305,3435802,3435802,785,72796,"한국","(주)제이케이필름,(주)씨제이이엔엠","(주)씨제이이엔엠","15세이상관람가","액션","이승준","설경구"
"감기",2013-08-14,21774884000,1.3,21774884000,3117859,3117859,806,55046,"한국","아이러브시네마,(주)아이필름홀딩스,(주)씨제이이엔엠","아이러브시네마","15세이상관람가","드라마,어드벤처,액션","김성수","장혁"
"친구 2",2013-11-14,21795237513,1.3,21795237513,2969900,2969900,968,69856,"한국","(주)트리니티엔터테인먼트,(주)제이콘컴퍼니","롯데쇼핑㈜롯데엔터테인먼트","청소년관람불가","액션","곽경택","유오성"
"26년",2012-11-29,21242367145,1.2,21242367145,2963652,2963652,611,50679,"한국","영화사청어람(주)","(주)인벤트스톤,영화사청어람(주)","15세이상관람가","액션,드라마","조근현","진구"
"내가 살인범이다",2012-11-08,20392518000,1.2,20392518000,2729827,2729827,547,58415,"한국","(주)다세포클럽,(주)쇼박스","(주)쇼박스","청소년관람불가","액션,스릴러","정병길","정재영"
"소원",2013-10-02,18529862600,1.1,18529862600,2711083,2711083,651,72329,"한국","(주)필름모멘텀","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","드라마","이준익","설경구"
"후궁 : 제왕의 첩",2012-06-06,19330302500,1.1,19330302500,2636320,2636320,624,69104,"한국","(주)황기성 사단","롯데쇼핑㈜롯데엔터테인먼트","청소년관람불가","사극,멜로/로맨스","김대승","조여정"
"반창꼬",2012-12-19,17911274787,1,17911274787,2475797,2475797,466,46879,"한국","(주)영화사오름","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","멜로/로맨스","정기훈","고수"
"화차",2012-03-08,18459969500,1.1,18459969500,2436500,2436500,548,62646,"한국","(주)영화제작소보임","필라멘트픽쳐스","15세이상관람가","미스터리","변영주","이선균"
"이웃사람",2012-08-22,18088462369,1,18088462369,2434269,2434269,600,56752,"한국","영화사 무쇠팔,플로우식스(주),자이온 이엔티(주),(주)누리픽쳐스,히트박스,(주)미스터로맨스","롯데쇼핑㈜롯데엔터테인먼트","청소년관람불가","스릴러","김휘","김윤진"
"화이: 괴물을 삼킨 아이",2013-10-09,17695412795,1,17695412795,2394453,2394453,817,59049,"한국","나우필름(주),파인하우스필름(주),(주)쇼박스","(주)쇼박스","청소년관람불가","액션,스릴러","장준환","여진구"
"용의자",2013-12-24,15629492500,0.9,15629492500,2176752,2176752,807,26814,"한국","(주)그린피쉬,(주)쇼박스","(주)쇼박스","15세이상관람가","액션,스릴러","원신연","공유"
"몽타주",2013-05-16,15002458500,0.9,15002458500,2095592,2095592,544,53195,"한국","(주)미인픽쳐스","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","스릴러","정근섭","엄정화"
"코리아",2012-05-03,13448848500,0.8,13448848500,1872681,1872681,537,49679,"한국","(주)더타워픽쳐스,(주)씨제이이엔엠,(주)웰메이드스타엠","(주)씨제이이엔엠","12세이상관람가","드라마","문현성","하지원"
"연애의 온도",2013-03-21,13798864446,0.8,13798864446,1865195,1865195,567,57847,"한국","(주)뱅가드스튜디오","롯데쇼핑㈜롯데엔터테인먼트","청소년관람불가","멜로/로맨스,코미디","노덕","이민기"
"나의 PS 파트너",2012-12-06,13896958616,0.8,13896958616,1831737,1831737,552,39254,"한국","나의PS파트너 문화산업전문회사","(주)씨제이이엔엠","청소년관람불가","멜로/로맨스,코미디","변성현","지성"
"공범",2013-10-24,12333110882,0.7,12333110882,1766285,1766285,611,51425,"한국","선샤인필름(주)","(주)씨제이이엔엠","15세이상관람가","스릴러,드라마","국동석","손예진"
"집으로 가는 길",2013-12-11,12373339745,0.7,12373339745,1763231,1763231,740,39811,"한국","(주)씨제이이엔엠,(주)다세포클럽","(주)씨제이이엔엠","15세이상관람가","드라마","방은진","전도연"
"전설의 주먹",2013-04-10,12777314500,0.7,12777314500,1744585,1744585,724,57593,"한국","(주)시네마서비스","(주)씨제이이엔엠","청소년관람불가","드라마,액션","강우석","황정민"
"러브픽션",2012-02-29,13200551500,0.8,13200551500,1726227,1726227,617,44133,"한국","(주)삼거리픽쳐스,(주)판타지오","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","멜로/로맨스,코미디","전계수","하정우"
"파파로티",2013-03-14,11825934000,0.7,11825934000,1716429,1716429,552,53601,"한국","케이엠컬쳐㈜","(주)쇼박스","15세이상관람가","드라마","윤종찬","한석규"
"공모자들",2012-08-29,12240964500,0.7,12240964500,1646142,1646142,496,44959,"한국","(주)영화사채움","씨너스엔터테인먼트(주),타임스토리그룹(주)","청소년관람불가","범죄,스릴러","김홍선","임창정"
"하울링",2012-02-16,11765293500,0.7,11765293500,1612554,1612554,550,44753,"한국","오퍼스픽쳐스(유)","(주)씨제이이엔엠","15세이상관람가","범죄,드라마","유하","송강호"
"용의자X",2012-10-18,11241013000,0.6,11241013000,1552055,1552055,553,42989,"한국","(주)케이앤엔터테인먼트,(주)씨제이이엔엠","(주)씨제이이엔엠","15세이상관람가","미스터리","방은진","류승범"
"런닝맨",2013-04-04,10060239500,0.6,10060239500,1422844,1422844,567,45995,"한국","(주)크리픽쳐스,이십세기폭스 인터내셔널 프로덕션","이십세기폭스코리아(주)","15세이상관람가","액션,코미디","조동오","김혜란"
"차형사",2012-05-30,9752555296,0.6,9752555296,1346754,1346754,433,39152,"한국","썸머트리 주식회사","(주)씨제이이엔엠","15세이상관람가","코미디,액션","신태라","강지환"
"은교",2012-04-25,9918298444,0.6,9918298444,1346362,1346362,521,41684,"한국","정지우 필름,㈜렛츠필름","롯데쇼핑㈜롯데엔터테인먼트","청소년관람불가","멜로/로맨스","정지우","박해일"
"미스터 고",2013-07-17,9337976000,0.5,9337976000,1328888,1328888,840,38263,"한국","(주)덱스터필름,(주)광대무변,(주)컨텐츠아이","(주)쇼박스","12세이상관람가","코미디,드라마","김용화","서교"
"간첩",2012-09-20,9316548500,0.5,9316548500,1310895,1310895,576,41726,"한국","(주)영화사울림","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","드라마,코미디,액션","우민호","김명민"
"간기남",2012-04-11,9356404500,0.5,9356404500,1246185,1246185,396,38155,"한국","(주)트로피엔터테인먼트,㈜더드림앤드픽쳐스","(주)쇼박스","청소년관람불가","코미디,스릴러","김형준","박희순"
"결혼전야",2013-11-21,8434175719,0.5,8434175719,1212843,1212843,524,38819,"한국","(주)수필름","씨너스엔터테인먼트(주)","15세이상관람가","멜로/로맨스,코미디","홍지영","김강우"
"깡철이",2013-10-02,8572344462,0.5,8572344462,1209363,1209363,707,43102,"한국","(주)시네마서비스,㈜더드림앤드픽쳐스,㈜팝콘필름","(주)씨제이이엔엠","15세이상관람가","드라마,액션,가족","안권태","유아인"
"R2B: 리턴투베이스",2012-08-15,8602921371,0.5,8602921371,1201944,1201944,539,32881,"한국","(주)주머니필름,(주)빨간마후라,(주)씨제이이엔엠","(주)씨제이이엔엠","15세이상관람가","액션,드라마","김동원","정지훈"
"더 웹툰: 예고살인",2013-06-27,8537683070,0.5,8537683070,1201457,1201457,541,35931,"한국","(주)필마픽쳐스 ,(주)라인필름,(주)씨제이이엔엠","(주)씨제이이엔엠","15세이상관람가","공포(호러),스릴러","김용균","이시영"
"돈의 맛",2012-05-17,8780178611,0.5,8780178611,1166018,1166018,643,36922,"한국","휠므빠말주식회사","(주)시너지하우스 (시너지),롯데쇼핑㈜롯데엔터테인먼트","청소년관람불가","드라마","임상수","김강우"
"가문의 영광5 - 가문의 귀환",2012-12-19,8330342500,0.5,8330342500,1160021,1160021,447,29429,"한국","(주)태원엔터테인먼트","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","코미디","정용기","조성현"
"고령화 가족",2013-05-09,8169492153,0.5,8169492153,1141222,1141222,583,37524,"한국","(주)인벤트스톤","(주)씨제이이엔엠","15세이상관람가","드라마,코미디","송해성","우혜진"
"회사원",2012-10-11,8321175000,0.5,8321175000,1110523,1110523,549,41275,"한국","영화사심미안(주),(주)쇼박스,(주)51k","(주)쇼박스","청소년관람불가","액션,드라마","임상윤","소지섭"
"점박이:한반도의 공룡3D",2012-01-26,9683159500,0.6,9683159500,1051192,1051192,457,22522,"한국","(주)드림써치C&C,한국교육방송공사 EBS,올리브스튜디오","(주)씨제이이엔엠","전체관람가","애니메이션,어드벤처,액션","한상호","이형석"
"동창생",2013-11-06,7010197126,0.4,7010197126,1048280,1048280,660,36401,"한국","더램프(주),(주)황금물고기","(주)쇼박스","15세이상관람가","액션,드라마","박홍수","최승현"
"시체가 돌아왔다",2012-03-29,7360631000,0.4,7360631000,986923,986923,435,36705,"한국","(주)씨네이천","(주)씨제이이엔엠","15세이상관람가","범죄,드라마","우선호","이범수"
"전국노래자랑",2013-05-01,6687636000,0.4,6687636000,978413,978413,581,41649,"한국","(주)인앤인픽쳐스","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","코미디,드라마","이종필","김인권"
"원더풀 라디오",2012-01-05,7193596000,0.4,7255598000,977470,986287,474,29167,"한국","(주)영화사아이비젼,(주)대명문화공장","(주)쇼박스","15세이상관람가","드라마,멜로/로맨스","권칠인","이민정"
"돈 크라이 마미",2012-11-22,6808882099,0.4,6808882099,975462,975462,444,29553,"한국","(주)씨네마골뱅이","(주)에스비에스콘텐츠허브","15세이상관람가","스릴러,드라마","김용한","유선"
"점쟁이들",2012-10-03,6731202500,0.4,6731202500,953682,953682,479,31577,"한국","(주)사람엔터테인먼트,(주)다세포클럽","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","코미디,공포(호러)","신정원","김수로"
"뽀로로 극장판 슈퍼썰매 대모험",2013-01-23,6826641500,0.4,6826641500,931342,931342,459,19941,"한국","(주)오콘,중국오락문화투자유한회사","(주)넥스트엔터테인먼트월드(NEW),(주)씨제이이엔엠","전체관람가","애니메이션","박영균","이선"
"열한시",2013-11-28,6097792000,0.4,6097792000,870785,870785,512,32536,"한국","(주)파레토웍스,(주)씨제이이엔엠","(주)씨제이이엔엠","15세이상관람가","스릴러","김현석","정재영"
"미확인 동영상 : 절대클릭금지",2012-05-30,5939840500,0.3,5939840500,867386,867386,361,25059,"한국","(주)에이디사공육,(주)다세포클럽","(주)쇼박스","15세이상관람가","공포(호러)","김태경","박보영"
"남쪽으로 튀어",2013-02-06,5970851500,0.3,5970851500,832894,832894,428,23088,"한국","(주)영화사거미,필름트레인","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","코미디,드라마","임순례","김윤석"
"나는 왕이로소이다",2012-08-08,5455343404,0.3,5455343404,790181,790181,471,21898,"한국","데이지엔터테인먼트","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","사극,코미디","장규성","주지훈"
"더 파이브",2013-11-14,5343797000,0.3,5343797000,731212,731212,501,27308,"한국","(주)시네마서비스","(주)씨제이이엔엠","청소년관람불가","스릴러,드라마","정연식","김선아"
"퍼펙트 게임",2011-12-21,5224000500,0.3,11220408500,695312,1507084,396,21284,"한국","(주)동아수출공사,밀리언 스토리,(주)다세포클럽","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","드라마","박희곤","조승우"
