"영화명","개봉일","매출액","매출액점유율","누적매출액","관객수","누적관객수","스크린수","상영횟수","대표국적","제작사","배급사","등급","장르","감독","배우"
"명량",2014-07-30,135753219310,8.3,135753219310,17615039,17615039,1587,188646,"한국","(주)빅스톤픽쳐스","(주)씨제이이엔엠","15세이상관람가","사극,액션","김한민","최민식"
"국제시장",2014-12-17,110930943730,6.8,110930943730,14261581,14261581,1044,212664,"한국","(주)제이케이필름,(주)씨제이이엔엠","(주)씨제이이엔엠","12세이상관람가","드라마","윤제균","황정민"
"베테랑",2015-08-05,105168155250,6.4,105168155250,13414009,13414009,1115,199231,"한국","(주)외유내강,(주)필름케이","(주)씨제이이엔엠","15세이상관람가","액션,드라마","류승완","황정민"
"암살",2015-07-22,98463132781,6,98463132781,12705700,12705700,1519,175185,"한국","(주)케이퍼필름","(주)쇼박스","15세이상관람가","액션,드라마","최동훈","전지현"
"해적: 바다로 간 산적",2014-08-06,66372140706,4,66372140706,8666208,8666208,910,133354,"한국","(주)하리마오픽쳐스","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","어드벤처","이석훈","김남길"
"수상한 그녀",2014-01-22,62710880849,3.8,62710880849,8658800,8658800,1027,136985,"한국","(주)예인플러스엔터테인먼트,아이앤코스모스(주)시네와이즈필름","(주)씨제이이엔엠","15세이상관람가","드라마","황동혁","심은경"
"내부자들",2015-11-19,56465665657,3.4,56465665657,7055332,7055332,1129,152265,"한국","(유)내부자들 문화전문회사","(주)쇼박스","청소년관람불가","범죄,드라마","우민호","이병헌"
"사도",2015-09-16,48842902501,3,48842902501,6246849,6246849,1210,124246,"한국","(주)타이거픽쳐스","(주)쇼박스","12세이상관람가","사극","이준익","송강호"
"연평해전",2015-06-24,45563228330,2.8,45563228330,6043784,6043784,1013,114450,"한국","(주)로제타시네마","(주)넥스트엔터테인먼트월드(NEW)","12세이상관람가","드라마","김학순","김무열"
"변호인",2013-12-18,41918856800,2.6,82872254800,5687812,11374859,925,97270,"한국","위더스필름(주)","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","드라마","양우석","송강호"
"검은 사제들",2015-11-05,42405282092,2.6,42405282092,5442128,5442128,1109,131155,"한국","영화사 집","(주)씨제이이엔엠","15세이상관람가","미스터리,드라마","장재현","김윤석"
"히말라야",2015-12-16,39469775448,2.4,39469775448,5129409,5129409,1095,81042,"한국","(주)제이케이필름","(주)씨제이이엔엠","12세이상관람가","드라마","이석훈","황정민"
