"영화명","개봉일","매출액","누적매출액","관객수","누적관객수","스크린수","상영횟수","제작사","배급사","등급","장르","감독","배우"
"어린 장모들 (감독판)",2019-01-11,5000,5000,1,1,1,1,"(주)소나무픽쳐스","(주)소나무픽쳐스","청소년관람불가","멜로/로맨스","강정훈",""
"어린 제부 2019",2019-01-29,5000,5000,1,1,1,1,"(주)소나무픽쳐스","(주)소나무픽쳐스","청소년관람불가","멜로/로맨스","이정",""
"어린 제부 2019 (감독판)",2019-03-08,5000,5000,1,1,1,1,"(주)소나무픽쳐스","(주)소나무픽쳐스","청소년관람불가","멜로/로맨스","이정",""
"어린 처제 - 무삭제판",2018-07-24,2000,2000,1,1,1,1,"(주)컨텐츠 빌리지","(주)컨텐츠 빌리지","청소년관람불가","멜로/로맨스","최우성",""
"어린 처제 2 - 무삭제판",2018-11-17,2000,2000,1,1,1,1,"너바나 필름","(주)컨텐츠 빌리지","청소년관람불가","멜로/로맨스","김태수",""
"어린 처제 3 - 무삭제판",2019-08-14,1000,1000,1,1,1,1,"너바나 필름","(주)컨텐츠 빌리지","청소년관람불가","멜로/로맨스","계장혁",""
"어린 처형 2 - 무삭제판",2019-11-12,1000,1000,1,1,1,1,"(주)컨텐츠 빌리지","(주)컨텐츠 빌리지","청소년관람불가","멜로/로맨스","김태수",""
"어린 처형- 무삭제판",2019-01-22,2000,2000,1,1,1,1,"너바나 필름","(주)컨텐츠 빌리지","청소년관람불가","멜로/로맨스","계장혁",""
"어린 친구 엄마",2019-11-27,5000,5000,1,1,1,1,"(주)소나무픽쳐스","(주)소나무픽쳐스","청소년관람불가","멜로/로맨스,드라마","이진",""
"어린 형수 3 - 무삭제판",2018-01-24,2000,2000,1,1,1,1,"핵존슨","(주)컨텐츠 빌리지","청소년관람불가","멜로/로맨스","최우성",""
"어린 형수 4-무삭제판",2019-03-18,1000,1000,1,1,1,1,"너바나 필름","(주)컨텐츠 빌리지","청소년관람불가","멜로/로맨스","최우성",""
"어린 형수님들",2019-01-11,5000,5000,1,1,1,1,"(주)소나무픽쳐스","(주)소나무픽쳐스","청소년관람불가","멜로/로맨스","이재금",""
"어린 형수님들 (감독판)",2019-03-08,5000,5000,1,1,1,1,"(주)소나무픽쳐스","(주)소나무픽쳐스","청소년관람불가","멜로/로맨스","이재금",""
"어린 형수와 여동생",2019-06-14,5000,5000,1,1,1,1,"(주)소나무픽쳐스","(주)소나무픽쳐스","청소년관람불가","멜로/로맨스","이진",""
"어린여동생",2019-07-08,5000,5000,1,1,1,1,"스마일컨텐츠","스마일컨텐츠","청소년관람불가","멜로/로맨스","정민용",""
