"년도","스크린수"
2004,1451
2005,1648
2006,1880
2007,1975
2008,2004
2009,1996
2010,2003
2011,1974
2012,2081
2013,2184
2014,2281
2015,2424
2016,2575
2017,2766
2018,2937
2019,3079
